Sprint 1 Burndown,,,,,,Sprint 1 Count,Sprint 2 Count
,,,,,,121,152
Day of Sprint,Work Remaining (Story Points),Ideal Line,,,,,
0,121,121,,"note: ideally get ahead early, more room for lag at end",,,
7,121,95,,,,,
14,121,75,,updated note: we got off on the wrong foot and didn't start until 2 weeks into the official sprint start,,,
21,105,62,,"We did complete what feels like a lot, but it deviated from the specific story items and we did a lot for non-functional requirements which were not accounted for in the initial story point estimation",,,
28,99,40,,,,,
35,94,20,,,,,
42,78,0,,,,,
,,,,,,,
Sprint 2 Burndown,,,,,,Sprint 1 Count,Sprint 2 Count
,,,,,,43,190
Day of Sprint,Work Remaining (Story Points),Ideal Line,,,,,
0,230,230,,,,,
7,210,195,,,,,
14,180,160,,,,,
21,130,120,,,,,
28,90,80,,,,,
35,60,40,,,,,
42,40,0,,note: we didn't finish everything we initially set out to accomplish because we decided to forego,,,
,,,,our notifications and feedback process as it seemed extraneous to what was necessary to see our original vision,,,
,,,,through. We also wanted to ensure we got the AI model to tailor and recommend versions before trying to input feedback,,,
,,,,we may try to integrate this during the test period. ,,,
